election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,UT,Beaver,Beaver,county,,,,unknown,Beaver County Offices,"105 East Center Street, 2nd Floor, Beaver, UT 84713",,ORR,2020-10-21,
2020-11-03,UT,Box Elder,Box Elder,county,,,,unknown,Tremonton Senior Center,"510 West 1000 North, Tremonton, UT 84337",,ORR,2020-10-21,
2020-11-03,UT,Box Elder,Box Elder,county,,,,unknown,USU Brigham City,"989 S. Main, Brigham City, UT 84302",,ORR,2020-10-21,
2020-11-03,UT,Box Elder,Box Elder,county,,,,unknown,Vote By Mail,UT,,ORR,2020-10-21,
2020-11-03,UT,Cache,Cache,county,,,,unknown,Cache County Event Center,"490 South 500 West, Logan, UT 84321",,ORR,2020-10-21,
2020-11-03,UT,Carbon,Carbon,county,,,,unknown,County Courthouse,"751 E 100 N, Downstairs Conference Room, Price, UT",,ORR,2020-10-21,
2020-11-03,UT,Daggett,Daggett,county,,,,unknown,Daggett County Courthouse,"95 North 1st West, Clerk/Treasurer's Office, Manila, UT 84046",,ORR,2020-10-21,
2020-11-03,UT,Davis,Davis,county,,,,unknown,Legacy Events Center (Fair Grounds),"151 South 1100 West, Farmington, UT 84025",,ORR,2020-10-21,
2020-11-03,UT,Duchesne,Duchesne,county,,,,unknown,Vote Center At The Clerk's Office-DROP BOX,"734 North Center Street, Duchesne, UT 84021",,ORR,2020-10-21,
2020-11-03,UT,Emery,Emery,county,,,,unknown,Emery County Courthouse,"75 E Main, Castle Dale, UT 84513",,ORR,2020-10-21,
2020-11-03,UT,Garfield,Garfield,county,,,,unknown,Garfield County Clerk's Office,"55 South Main Street, Panguitch, UT 84759",,ORR,2020-10-21,
2020-11-03,UT,Grand,Grand,county,,,,unknown,Grand County Clerk/Auditor Office,"125 East Center, Moab, UT 84532",,ORR,2020-10-21,
2020-11-03,UT,Iron,Iron,county,,,,unknown,Cedar City Aquatic Center,"Election Day & Ballot Drop Box Location, 2090 W Royal Hunte Dr, Cedar City, UT 84721",,ORR,2020-10-21,
2020-11-03,UT,Iron,Iron,county,,,,unknown,Cedar City Council Chambers,"10 North Main St, Cedar City, UT 84720",,ORR,2020-10-21,
2020-11-03,UT,Iron,Iron,county,,,,unknown,Enoch City Offices,"900 E Midvalley Rd, Enoch, UT 84721",,ORR,2020-10-21,
2020-11-03,UT,Iron,Iron,county,,,,unknown,Iron County Courthouse,"Election Day, & Ballot Box Drop Off Location At, 68 S 100 East, Parowan, UT 84761",,ORR,2020-10-21,
2020-11-03,UT,Iron,Iron,county,,,,unknown,Iron County Tourism Bureau,"Election Day & Ballot Drop Box Location, 581 N Main St, Cedar City, UT 84721",,ORR,2020-10-21,
2020-11-03,UT,Juab,Juab,county,,,,unknown,Juab County Administration Building,"160 North Main, Room 115, Nephi, UT 84648",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Big Water,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Glendale Town,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Kane County Courthouse,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Kane County Courthouse,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Kane County Courthouse,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Orderville Town,"Valley Vote Center, 425 E State Street, Orderville, UT 84758",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Alton,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Bullfrog,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Cedar Mountain,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Churchwells,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,Kanab Election Center,"76 N Main St, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,Kane County Courthouse,"76 N Main, Kanab, UT 84741",,ORR,2020-10-21,
2020-11-03,UT,Kane,Kane,county,,,,unknown,Valley Vote Center,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,
2020-11-03,UT,Millard,Millard,county,,,,unknown,Millard County Clerk's Office,"765 South Highway 99, Fillmore, UT 84631",,ORR,2020-10-21,
2020-11-03,UT,Millard,Millard,county,,,,unknown,Millard County Satellite Offices,"71 S 200 W, Delta, UT 84624",,ORR,2020-10-21,
2020-11-03,UT,Morgan,Morgan,county,,,,unknown,Morgan County Courthouse - Auditorium,"48 West Young Street, Morgan, UT 84050",,ORR,2020-10-21,
2020-11-03,UT,Piute,Piute,county,,,,unknown,Piute County Courthouse,"550 N Main, Junction, UT 84740",,ORR,2020-10-21,
2020-11-03,UT,Rich,Rich,county,,,,unknown,Clerk's Office,"20 South Main, Randolph, UT 84064",,ORR,2020-10-21,
