Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
FRANKLIN WARD 02,HOLLY A BURBANK,"316 CENTRAL STREET
FRANKLIN 03235",934-3109,934-7413,hburbank@franklinnh.org,www.franklinnh.org,"WARD 02 - City Hall
316 Central St Franklin 03235",8:00 AM - 7:00 PM
FRANKLIN WARD 03,HOLLY A BURBANK,"316 CENTRAL STREET
FRANKLIN 03235",934-3109,934-7413,hburbank@franklinnh.org,www.franklinnh.org,"WARD 03 - Franklin Middle
School
200 Sanborn St Franklin
03235",8:00 AM - 7:00 PM
FREEDOM,"A ELIZABETH
PRIEBE","PO BOX 457 FREEDOM
03836",539-8269,539-8270,"freedomtownclerk@yahoo.
com",www.townoffreedom.net,"Freedom Town Hall
16 Elm St Freedom 03836",8:00 AM - 7:00 PM
FREMONT,LORI A HOLMES,"PO BOX 120 FREMONT
03044",895-8693,895-3149,fremontclerk@comcast.net,www.fremont.nh.gov,"Ellis School
432 Main St Fremont 03044",7:00 AM - 8:00 PM
GILFORD,DENISE M GONYER,"47 CHERRY VALLEY RD
GILFORD 03249",527-4713,527-4719,dgonyer@gilfordnh.org,http://www.gilfordnh.org,"Gilford Middle School
72 Alvah Wilson Rd Gilford
03249",7:00 AM - 7:00 PM
GILMANTON,DEBRA A CORNETT,"PO BOX 550 GILMANTON
03237",267-6726,267-6701,tctx@gilmantonnh.org,www.gilmantonnh.org,"Gilmanton Academy Building
503 Province Rd Gilmanton
03237",7:00 AM - 7:00 PM
GILSUM,ROBIN L CANTARA,PO BOX 36 GILSUM 03448,357-0320,352-0845,robin03448@comcast.net,,"Gilsum Community Center
640 Route 10 Gilsum 03448",8:00 AM - 7:00 PM
"GOFFSTOWN WARD
01",CATHY BALL,"16 MAIN STREET
GOFFSTOWN 03045",497-8990,497-5710,cball@goffstownnh.gov,www.goffstown.com,"WARD 01 - Goffstown High
School
27 Wallace Rd Goffstown
03045",7:00 AM - 7:00 PM
"GOFFSTOWN WARD
05",CATHY BALL,"16 MAIN STREET
GOFFSTOWN 03045",497-8990,497-5710,cball@goffstownnh.gov,www.goffstown.com,"WARD 05 - Bartlett
Elementary School
689 Mast Rd Goffstown 03102",7:00 AM - 7:00 PM
GORHAM,GRACE E LAPIERRE,"20 PARK STREET
GORHAM 03581",466-2744,466-2744,glapierre@gorhamnh.org,www.gorhamnh.org,"Gorham Town Hall
20 Park St Gorham 03581",8:00 AM - 7:00 PM
GOSHEN,CINDY L WILLIAMS,"PO BOX 58 GOSHEN
03752",863-5655,863-6139,townofgoshen@goshennh.org,www.goshennh.org,"Goshen Town Hall
54 Mill Village Rd N Goshen
03752",8:00 AM - 7:00 PM
GRAFTON,"BONNIE J
HAUBRICH","PO BOX 277 GRAFTON
03240",523-7270,523-4986,graftontc2008@hotmail.com,www.townofgraftonnh.com,"Grafton Fire And Ambulance
Station
10 Library Rd Grafton 03240",8:00 AM - 7:00 PM
GRANTHAM,RITA FRIEDMAN,"PO BOX 135 GRANTHAM
03753",863-5608,863-4499,rfriedman@granthamnh.net,www.granthamnh.net,"Grantham Town Hall
300 Route 10 S Grantham
03753",8:00 AM - 7:00 PM
GREENFIELD,EDITH SLEEPER,"PO BOX 256 GREENFIELD
03047",547-2782,547-3004,"greenfieldnhtc@myfairpoint.
net",http://www.greenfield-nh.gov,"Greenfield Meeting House
776 Forest Rd Greenfield
03047",8:00 AM - 7:00 PM
GREENLAND,"MARGUERITE
FRANCES MORGAN","PO BOX 100 GREENLAND
03840",431-7111,430-3761,mmorgan@greenland-nh.com,www.greenland-nh.com,"Greenland Central School
70 Post Rd Greenland 03840",8:00 AM - 7:00 PM
