Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
MARLOW,MARY AVERY,"167 NH RT 123 MARLOW
03456",446-2245,446-8306,marlowclerk@myfairpoint.net,,"John D. Perkins School
919 Nh Rt 10 Marlow 03456",8:00 AM - 7:00 PM
MASON,"DEBRA A
MORRISON","16 DARLING HILL RD
MASON 03048",878-3768,878-4892,masontownclerk@gmail.com,,"Mason Town Hall
7 Meetinghouse Hill Rd Mason
03048",11:00 AM - 7:00 PM
MEREDITH,KERRI ANN PARKER,"41 MAIN STREET
MEREDITH 03253",677-4203,677-1090,kparker@meredithnh.org,www.meredithnh.org,"Meredith Community Center
1 Circle Dr Meredith 03253",7:00 AM - 7:00 PM
"MERRIMACK WARD
01",DIANE TRIPPETT,"6 BABOOSIC LAKE ROAD
MERRIMACK 03054",424-3651,423-8539,dtrippett@merrimacknh.gov,www.merrimacknh.gov,"WARD 01 - Merrimack High
School
38 Mcelwain St Merrimack
03054",7:00 AM - 7:00 PM
MIDDLETON,"DEBORAH L
O'TOOLE","182 KINGS HIGHWAY
MIDDLETON 03887",473-5210,473-2450,tctx@middletonnh.gov,www.middletonnh.gov,"Middleton Old Town Hall
200 Kings Hwy Middleton
03887",8:00 AM - 7:00 PM
MILAN,DAWN E MINER,PO BOX 158 MILAN 03588,449-3461,449-2624,milantc@netzero.net,www.townofmilan.org,"Milan Village School Gym
11 Bridge St Milan 03588",8:00 AM - 7:00 PM
MILFORD,"MARGARET
LANGELL","1 UNION SQUARE
MILFORD 03055",249-0650,673-2273,plangell@milford.nh.gov,http://www.milford.nh.gov/,"Milford Middle School
33 Osgood Rd Milford 03055",6:00 AM - 8:00 PM
MILLSFIELD,CAROL POMELOW,"468 US ROUTE 26 ERROL
03579",482-3294,,,,"Peace Of Heaven Bed &
Breakfast
501 Us Route 26 Millsfield
03579",6:30 PM - 7:00 PM
MILTON,ANNE M CLARK,"PO BOX 180 MILTON
03851",652-9414,652-4120,miltontc@metrocast.net,www.miltonnh-us.com,"Emma Ramsey Center
424 White Mountain Hwy
Milton 03851",8:00 AM - 7:00 PM
MONROE,MARILYN S BEDELL,"50 MAIN STREET
MONROE 03771",638-2644,638-2021,monroetc@roadrunner.com,,"Monroe Town Hall
50 Main St Monroe 03771",8:00 AM - 7:00 PM
MONT VERNON,JEANETTE VINTON,"PO BOX 417 MONT
VERNON 03057",673-9126,673-0914,mvtownclerk@comcast.net,http://town.mont-vernon.nh.us,"Mont Vernon Village School
1 Kittredge Rd Mont Vernon
03057",7:00 AM - 7:00 PM
"MOULTONBOROUG
H","BARBARA E
WAKEFIELD","PO BOX 15
MOULTONBOROUGH
03254",476-2347,476-2778,mltborotclerk@gmail.com,www.moultonboroughnh.gov,"Moultonborough Public Safety
Building
1035 Whittier Hwy
Moultonborough 03254",7:00 AM - 7:00 PM
NASHUA WARD 01,PAUL BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 01 - Broad Street
Elementary School
390 Broad St Nashua 03063",6:00 AM - 8:00 PM
NASHUA WARD 02,PAUL BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 02 - Charlotte Avenue
Elementary School
48 Charlotte Ave Nashua
03064",6:00 AM - 8:00 PM
