Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
WALPOLE WARD 01,SANDRA J SMITH,"PO BOX 756 WALPOLE
03608",756-3514,756-4153,ssmith@walpolenh.us,www.walpolenh.us,"WARD 01 - Walpole Town Hall
34 Elm St Walpole 03608",8:00 AM - 7:00 PM
WALPOLE WARD 02,SANDRA J SMITH,"PO BOX 756 WALPOLE
03608",756-3514,756-4153,ssmith@walpolenh.us,www.walpolenh.us,"WARD 02 - St Peters Church
38 Church St Walpole 03609",8:00 AM - 7:00 PM
WARNER,JUDITH A ROGERS,"PO BOX 265 WARNER
03278",456-2298,456-3576,townclerk@warner.nh.us,www.warner.nh.us,"Warner Town Hall
5 East Main St Warner 03278",8:00 AM - 7:00 PM
WARREN,SUZANNE M FLAGG,"PO BOX 40 WARREN
03279",764-7705,764-9296,warrentownclerk@gmail.com,,"Town Hall
21 Water St Warren 03279",9:00 AM - 7:00 PM
WASHINGTON,SANDRA POOLE,"7 HALF MOON POND
ROAD WASHINGTON
03280",495-3667,496-3521,townclerk@washingtonnh.org,www.washingtonnh.org,"Camp Morgan Lodge
338 Millen Pond Rd
Washington 03280",8:00 AM - 7:00PM
"WATERVILLE
VALLEY","PATRICIA M
KUCHARSKI","PO BOX 500 WATERVILLE
VALLEY 03215",236-4730,236-2056,townofwv@watervillevalley.org,www.watervillevalley.org,"Recreation Department
11 Noon Peak Rd Waterville
Valley 03215",11:00 AM - 7:00 PM
WEARE,"MAUREEN
BILLODEAU","15 FLANDERS MEMORIAL
RD WEARE 03281",529-7575,529-7571,mbillodeau@weare.nh.gov,www.weare.nh.gov,"Weare Middle School
16 East Rd Weare 03281",7:00 AM - 7:00 PM
WEBSTER,MICHELE R DERBY,"945 BATTLE ST WEBSTER
03303",648-2538,648-6055,townclerk@webster-nh.gov,www.webster-nh.gov,"Webster Town Hall
945 Battle St Webster 03303",8:00 AM - 7:00 PM
WENTWORTH,DONNA J KING,"PO BOX 2 WENTWORTH
03282",764-5244,764-9362,tctcwentworth@yahoo.com,www.wentworth-nh.org,"Wentworth Elementary School
1247 Mount Moosilauke Hwy
Wentworth 03282",8:00 AM - 7:00 PM
"WENTWORTH'S
LOCATION",YVETTE BILODEAU,PO BOX 100 ERROL 03579,482-3351,237-5069,erroltownclerk@gmail.com,none available,"Errol Town Hall
33 Main St Wentworth's
Location 03579",8:00 AM - 7:00 PM
WESTMORELAND,CINDI H ADLER,"780 ROUTE 63
WESTMORELAND 03467",399-7211,399-7211,cadlertownclerk@gmail.com,www.westmorelandnh.com,"Westmoreland Town Hall
780 Route 63 Westmoreland
03467",8:00 AM - 7:00 PM
WHITEFIELD,"STEPHANIE H
GLIDDEN","7 JEFFERSON ROAD
WHITEFIELD 03598",837-9871,837-3148,whitefieldtownclerk@ne.rr.com,www.whitefieldnh.org,"Cd Mcintyre Auditorium
16 Highland St Whitefield
03598",8:00 AM - 7:00 PM
WILMOT,"RHONDA LEE
GAUTHIER",PO BOX 94 WILMOT 03287,526-9639,526-4067,townofwilmot_tc@comcast.net,www.wilmotnh.org,"Wilmot Town Hall
9 North Wilmot Rd Wilmot
03287",8:00 AM - 7:00 PM
WILTON,JANE FARRELL,42 MAIN ST WILTON 03086,654-9451,654-6663,jfarrell@tds.net,www.ci.wilton.nh.us,"Wilton Town Hall
42 Main St Wilton 03086",8:00 AM - 7:00 PM
WINCHESTER,"JAMES M
TETREAULT","PO BOX 512
WINCHESTER 03470",239-6233,239-4146,jtetreault@winchester.nh.gov,www.winchester-nh.gov,"Town Hall
1 Richmond Rd Winchester
03470",8:00 AM - 7:00 PM
