Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
ORFORD,LOUISE M MACK,"2529 ROUTE 25A ORFORD
03777",353-4404,353-4489,orfordtownclerk@orfordnh.us,www.orfordnh.us,"Orford Town Office/Niles
Room
2529 Route 25A Orford 03777",8:00 AM - 7:00 PM
OSSIPEE,KELLIE J SKEHAN,"PO BOX 67 CTR OSSIPEE
03814",539-2008,539-2856,ossipeetctc@gmail.com,www.ossipee.org,"Ossipee Town Hall
55 Main St Ossipee 03814",8:00 AM - 7:00 PM
PELHAM,"DOROTHY ANN
MARSDEN","6 VILLAGE GREEN
PELHAM 03076",508-3076,508-3096,townclerk@pelhamweb.com,www.pelhamweb.com,"Pelham High School
85 Marsh Rd Pelham 03076",7:00 AM - 8:00 PM
PEMBROKE,JAMES F GOFF,"311 PEMBROKE STREET
PEMBROKE 03275",485-4747,485-3967,jgoff@pembroke-nh.com,www.pembroke-nh.com,"Pembroke Three Rivers
School
243 Academy Rd Pembroke
03275",7:00 AM - 7:00 PM
PETERBOROUGH,LINDA M GUYETTE,"1 GROVE ST
PETERBOROUGH 03458",924-8000,924-8001,"lguyette@townofpeterborough.
us",www.townofpeterborough.com,"Peterborough Town House
1 Grove St Peterborough
03458",7:00 AM - 7:00 PM
PIERMONT,"BERNADETTE
RATEL","PO BOX 27 PIERMONT
03779",272-4840,272-4947,"piermont.town.clerk@gmail.
com",,"Old Church Building
129 Route 10 Piermont 03779",10:00 AM - 7:00 PM
PINKHAM'S GRANT,GRACE E. LAPIERRE,"20 PARK STREET
GORHAM 03581",466-2744,466-2744,www.glapierre@gorhamnh.org,www.gorhamnh.org,"American Legion Post 82
6 Androscoggin St Pinkham's
Grant 03581",8:00 AM - 7:00 PM
PITTSBURG,"MARISE CLAIRE
BURNS","1526 MAIN STREET
PITTSBURG 03592",538-6699,538-6697,pittsburg1 @nhecwb.com,www.pittsburg-nh.com,"Pittsburg School
12 School St Pittsburg 03592",11:00 AM - 7:00 PM
PITTSFIELD,ERICA B ANTHONY,"PO BOX 98 PITTSFIELD
03263",435-6773,435-7922,pittsfieldtc@metrocast.net,www.pittsfield-nh.com,"Pittsfield Town Hall
85 Main St Pittsfield 03263",7:00 AM - 7:00 PM
PLAINFIELD,MICHELLE MARSH,"PO BOX 380 MERIDEN
03770",469-3201,469-3642,mmarsh@plainfieldnh.org,www.plainfieldnh.org,"Plainfield Elementary School
92 Bonner Rd Plainfield 03770",8:00 AM - 7:00 PM
PLAISTOW,"MARYELLEN
PELLETIER","145 MAIN STREET
PLAISTOW 03865",382-8129,382-0006,mpelletier@plaistow.com,www.plaistow.com,"Pollard School Gym
120 Main St Plaistow 03865",7:00 AM - 8:00 PM
PLYMOUTH,KAREN FREITAS,"6 POST OFFICE SQ.
PLYMOUTH 03264",536-1732,536-0036,townclerk@plymouth-nh.org,www.plymouth-nh.org,"Plymouth Elementary School
43 Old Ward Bridge Rd
Plymouth 03264",8:00 AM - 7:00 PM
"PORTSMOUTH
WARD 01",KELLI L BARNABY,"1 JUNKINS AVENUE
PORTSMOUTH 03801",610-7207,427-1579,"klbarnaby@cityofportsmouth.
com",www.cityofportsmouth.com,"WARD 01 - New Franklin
School
1 Franklin Dr Portsmouth
03801",8:00 AM - 8:00 PM
"PORTSMOUTH
WARD 02",KELLI L BARNABY,"1 JUNKINS AVENUE
PORTSMOUTH 03801",610-7207,427-1579,"klbarnaby@cityofportsmouth.
com",www.cityofportsmouth.com,"WARD 02 - North Church
Parish House
355 Spinney Rd Portsmouth
03801",8:00 AM - 8:00 PM
"PORTSMOUTH
WARD 03",KELLI L BARNABY,"1 JUNKINS AVENUE
PORTSMOUTH 03801",610-7207,427-1579,"klbarnaby@cityofportsmouth.
com",www.cityofportsmouth.com,"WARD 03 - Robert J. Lister
Academy
35 Sherburne Rd Portsmouth
03801",8:00 AM - 8:00 PM
