Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
"PORTSMOUTH
WARD 04",KELLI L BARNABY,"1 JUNKINS AVENUE
PORTSMOUTH 03801",610-7207,427-1579,"klbarnaby@cityofportsmouth.
com",www.cityofportsmouth.com,"WARD 04 - Portsmouth High
School
50 Andrew Jarvis Dr
Portsmouth 03801",8:00AM - 8:00PM
"PORTSMOUTH
WARD 05",KELLI L BARNABY,"1 JUNKINS AVENUE
PORTSMOUTH 03801",610-7207,427-1579,"klbarnaby@cityofportsmouth.
com",www.cityofportsmouth.com,"WARD 05 - Little Harbour
School
50 Clough Dr Portsmouth
03801",8:00 AM - 8:00 PM
RANDOLPH,ANNE KENISON,"130 DURAND ROAD
RANDOLPH 03593",466-5771,466-9856,townclerk@randolph.nh.gov,www.randolph.nh.gov,"Randolph Town Hall
130 Durand Rd Randolph
03593",11:00 AM - 7:00 PM
RAYMOND,SHARON E WALLS,"4 EPPING STREET
RAYMOND 03077",895-4735,895-0903,swalls@raymondnh.gov,www.raymondnh.gov,"Iber Holmes Gove Middle
School
1 Stephen K Batchelder Pkwy
Raymond 03077",7:00 AM - 7:00 PM
RICHMOND,"ANNETTE
TOKUNAGA","105 OLD HOMESTEAD
HWY RICHMOND 03470",239-6202,239-6202,"richmondtownclerk@yahoo.
com",www.richmond.nh.gov,"Veterans Hall
150 Old Homestead Hwy
Richmond 03470",8:00 AM - 7:00 PM
RINDGE,NANCY A S MARTIN,PO BOX 11 RINDGE 03461,899-5181,899-2108,townclerk@town.rindge.nh.us,www.town.rindge.nh.us,"Rindge Memorial School
58 School St Rindge 03461",7:00 AM - 7:00 PM
"ROCHESTER WARD
01",KELLY A WALTERS,"31 WAKEFIELD ST
ROCHESTER 03867",335-7509,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 01 - Vfw Post 1772
43 Highland St Rochester
03868",8:00 AM - 7:00 PM
"ROCHESTER WARD
02",KELLY A WALTERS,"31 WAKEFIELD ST
ROCHESTER 03867",335-7509,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 02 - Saint Mary's
Parish Center
71 Lowell St Rochester 03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
03",KELLY A WALTERS,"31 WAKEFIELD ST
ROCHESTER 03867",335-7509,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 03 - Lilac City Estates
Function Room
2 Roseberry Ln Rochester
03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
04",KELLY A WALTERS,"31 WAKEFIELD ST
ROCHESTER 03867",335-7509,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 04 - Rochester Home
Depot
280 North Main St Rochester
03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
05",KELLY A WALTERS,"31 WAKEFIELD ST
ROCHESTER 03867",335-7509,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 05 - Rochester
Community Center
1 Community Way Rochester
03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
06",KELLY A WALTERS,"31 WAKEFIELD ST
ROCHESTER 03867",335-7509,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 06 - Elks Lodge 1393
41 Columbus Ave Rochester
03867",8:00 AM - 7:00 PM
