Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
LEMPSTER,GAYLE S NEWTON,"PO BOX 33 LEMPSTER
03605",863-3213,863-8105,"lempstertownclerk@myfairpoin
t.net",www.lempsternh.org,"Goshen-Lempster School
29 School Rd Lempster 03605",8:00 AM - 7:00 PM
LINCOLN,SUSAN M WHITMAN,PO BOX 39,745-8971,745-6743,townclerk@lincolnnh.org,www.lincolnnh.org,"Lincoln Town Hall
148 Main St Lincoln 03251",8:00 AM - 7:00 PM
LISBON,JENNIFER TRELFA,"PO BOX 222 LISBON
03585",838-2862,838-6790,lisbonnhtc@roadrunner.com,,"Lisbon Regional School
25 Highland Ave Lisbon 03585",8:00 AM - 7:00 PM
LITCHFIELD,THERESA L BRIAND,"2 LIBERTY WAY
LITCHFIELD 03052",424-4045,424-8154,tbriand@litchfield-nh.gov,www.litchfield-nh.gov,"Campbell High School
1 Highlander Ct Litchfield
03052",7:00 AM - 7:00 PM
LITTLETON,JUDITH FAYE WHITE,"125 MAIN ST LITTLETON
03561",444-3995,444-0735,jwhite@townoflittleton.org,www.townoflittleton.org,"Littleton Fire Station
230 W Main St Littleton 03561",8:00 AM - 7:00 PM
LONDONDERRY,"MARGUERITE ALICE
SEYMOUR","268 B MAMMOTH RD
LONDONDERRY 03053",432-1100,421-9617,"mseymour@londonderrynh.
org",www.londonderrynh.org,"Londonderry High School Gym
295 Mammoth Rd
Londonderry 03053",7:00 AM - 8:00 PM
LOUDON,WENDY L YOUNG,"PO BOX 7837 LOUDON
03307",798-4542,798-3539,townclerkloudon@tds.net,www.loudonnh.org,"Loudon Town Hall
433 Clough Hill Rd Loudon
03307",8:00 AM - 7:00 PM
LYMAN,CAROL M MESSNER,"65 PARKER HILL ROAD
LYMAN 03585",838-6113,838-6818,lymantc@ncia.net,www.lymannh.org,"Lyman Town Hall
65 Parker Hill Rd Lyman
03585",8:00 AM - 7:00 PM
LYME,PATRICIA G JENKS,PO BOX 342 LYME 03768,795-2535,795-2117,patty@lymenh.gov,www.lymenh.gov,"Lyme Community Gymnasium
35 Union St Lyme 03768",7:00 AM - 7:00 PM
LYNDEBOROUGH,"PATRICIA H
SCHULTZ","9 CITIZENS HALL ROAD
LYNDEBOROUGH 03082",654-5955,654-5777,tschultz@lyndeboroughnh.us,www.lyndeboroughnh.us,"Citizens' Hall
9 Citizens Hall Rd
Lyndeborough 03082",8:00 AM - 7:00 PM
MADBURY,"KATHERINE K
CORNWELL","13 TOWN HALL RD
MADBURY 03823",742-5131,742-2505,tcmadbury@comcast.net,"http://www.townofmadbury.
com","Madbury Town Hall
13 Town Hall Rd Madbury
03823",7:00 AM - 7:00 PM
MADISON,"MARCIA E
SHACKFORD","1923 VILLAGE ROAD
MADISON 03849",367-9931,367-4765,clerk@madison-nh.org,www.madison-nh.org,"Madison Elementary School
Gym
2069 Village Rd Madison
03849",8:00 AM - 7:00 PM
"MANCHESTER
WARD 01","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 01 - Webster School
2519 Elm St Manchester
03104",6:00 AM - 7:00 PM
"MANCHESTER
WARD 02","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 02 - Hillside Middle
School
112 Reservoir Ave Manchester
03104",6:00 AM - 7:00 PM
