Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
BRISTOL,"RAYMAH W
SIMPSON","230 LAKE STREET
BRISTOL 03222",744-3354,744-2521,rsimpson@townofbristolnh.org,www.townofbristolnh.org,"Bristol Old Town Hall
45 Summer St Bristol 03222",8:00 AM - 7:00 PM
BROOKFIELD,"VIRGINIA A
MCGINLEY","267 WENTWORTH RD
BROOKFIELD 03872",522-3688,522-6245,brookfieldnhtc@hotmail.com,www.brookfieldnh.org,"Brookfield Office Building
267 Wentworth Rd Brookfield
03872",8:00 AM - 7:00 PM
BROOKLINE,"PATRICIA A
HOWARD-BARNETT","PO BOX 336 BROOKLINE
03033",673-8855,673-8136,patti@brookline.nh.us,http://www.brookline.nh.us/,"Captain Samuel Douglas
Academy
24 Townsend Hill Rd Brookline
03033",7:00 AM - 7:30 PM
CAMBRIDGE,YVETTE BILODEAU,PO BOX 100 03579,482-3351,482-3804,erroltownclerk@gmail.com,none available,"Errol Town Hall
33 Main St Cambridge 03579",8:00 AM - 7:00 PM
CAMPTON,HANNAH B JOYCE,"1307 NH RT 175 CAMPTON
03223",726-3223,726-9817,toc.hj@roadrunner.com,www.camptonnh.org,"Campton Elementary School
1110 Nh Rt 175 Campton
03223",8:00 AM - 7:00 PM
CANAAN,VICKY J MCALISTER,"PO BOX 38 CANAAN
03741",523-7106,523-4526,vmcalister@canaannh.org,www.canaannh.org,"Canaan Fire Station
62 Nh Rt 118 Canaan 03741",8:00 AM - 7:00 PM
CANDIA,"CHRISTINE
DUPERE","74 HIGH STREET CANDIA
03034",483-5573,483-0252,cdupere@townofcandia.org,www.candianh.org,"Henry W Moore School
12 Deerfield Rd Candia 03034",6:00 AM - 7:00 PM
CANTERBURY,BENJAMIN A BYNUM,"10 HACKLEBORO RD
CANTERBURY 03224",783-0153,783-0501,"canterburytaxcollect@myfairpo
int.net",www.canterbury-nh.org,"Old Town Hall
11 Center Rd Canterbury
03224",7:00 AM - 7:00 PM
CARROLL,"REBECCA J
PEDERSON","PO BOX 88 TWIN
MOUNTAIN 03595",846-5494,846-5713,twintclerk@roadrunner.com,,"Carroll Town Hall/Twin
Mountain
92 School St Carroll 03595",11:00 AM - 7:00 PM
CENTER HARBOR,SHEILA MOHAN,"PO BOX 140 CENTER
HARBOR 03226",253-4561,253-8420,chtownclerk@metrocast.net,www.centerharbornh.org,"Center Harbor Town Office
36 Main St Center Harbor
03226",8:00 AM - 7:00 PM
CHARLESTOWN,DEBRA J CLARK,"26 RAILROAD ST
CHARLESTOWN 03603",826-5821,826-5181,deb@charlestown-nh.gov,www.charlestown-nh.gov,"Library-Municipal Building
26 Railroad St Charlestown
03603",8:00 AM - 7:00 PM
CHATHAM,PATRICIA PITMAN,"1681 MAIN ROAD
CHATHAM 03813",694-2043,694-2043,mpitman@fairpoint.net,,"Chatham Town Hall
1071 Main Rd Chatham 03813",11:00 AM - 7:00 PM
CHESTER,"BARBARA L
GAGNON","84 CHESTER STREET
CHESTER 03036",887-3636,887-4334,chester9@gsinet.net,www.chesternh.org,"Chester Municipal Office
84 Chester St Chester 03036",7:00 AM - 7:00 PM
CHESTERFIELD,BARBARA GIRS,"PO BOX 64
CHESTERFIELD 03443",363-8071,363-8047,"chesterfieldtownclerk@yahoo.
com",www.nhchesterfield.com,"Chesterfield Town Hall
518 Route 63 Chesterfield
03443",8:00 AM - 7:00 PM
CHICHESTER,EVELYN PIKE,"54 MAIN CHICHESTER
03258",798-5808,798-3170,townclerk@chichesternh.org,www.chichesternh.org,"Chichester Town Hall
54 Main St Chichester 03258",7:00 AM - 7:00 PM
