Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
"CLAREMONT WARD
01","GWENDOLYN R
MELCHER","58 OPERA HOUSE SQ
CLAREMONT 03743",542-7003,542-7038,cityclerk@claremontnh.com,www.claremontnh.com,"WARD 01 - Claremont Middle
School
107 South St Claremont 03743",8:00 AM - 7:00 PM
"CLAREMONT WARD
02","GWENDOLYN R
MELCHER","58 OPERA HOUSE SQ
CLAREMONT 03743",542-7003,542-7038,cityclerk@claremontnh.com,www.claremontnh.com,"WARD 02 - Claremont Middle
School
107 South St Claremont 03743",8:00 AM - 7:00 PM
"CLAREMONT WARD
03","GWENDOLYN R
MELCHER","58 OPERA HOUSE SQ
CLAREMONT 03743",542-7003,542-7038,cityclerk@claremontnh.com,www.claremontnh.com,"WARD 03 - Disnard
Elementary School
160 Hanover St Claremont
03743",8:00 AM - 7:00 PM
CLARKSVILLE,HELENE L DIONNE,"408 NH ROUTE 145
CLARKSVILLE 03592",246-7751,246-3480,twnclark@yahoo.com,none,"Clarksville Town Hall
408 Nh Rt 145 Clarksville
03592",11:00 AM - 7:00 PM
COLEBROOK,"SHEILA M
BEAUCHEMIN","17 BRIDGE STREET
COLEBROOK 03576",237-5200,237-5069,sbeauchemin@myfairpoint.net,www.colebrook-nh.com,"Colebrook Elementary School
Gym
27 Dumont St Colebrook
03576",8:00 AM - 7:00 PM
COLUMBIA,"MARCIA LYNN
PARKHURST","PO BOX 157 COLEBROOK
03576",237-5255,237-8270,towncolumbia@myfairpoint.net,www.columbianh.org,"Columbia Town Hall
1919 Us Route 3 Columbia
03576",11:00 AM - 7:00 PM
CONCORD WARD 01,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 01 - Immaculate
Conception Church
9 Bonney St Concord 03303",7:00 AM - 7:00 PM
CONCORD WARD 02,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 02 - West
Congregational Church
499 North State St Concord
03301",7:00 AM - 7:00 PM
CONCORD WARD 03,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 03 - Beaver Meadow
Golf Course
1 Beaver Meadow St Concord
03301",7:00 AM - 7:00 PM
CONCORD WARD 04,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 04 - Boys & Girls Club
Of Greater Concord
55 Bradley - Polling Place Only
St Concord 03301",7:00 AM - 7:00 PM
CONCORD WARD 05,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 05 - Green Street
Community Center
39 Green St Concord 03301",7:00 AM - 7:00 PM
CONCORD WARD 06,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 06 - St John's Church
72 South Main St Concord
03301",7:00 AM - 7:00 PM
