Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
MILLSFIELD,CAROL POMELOW,"468 US ROUTE 26 ERROL
03579",482-3294,482-3451,caploghaven@aol.com,,"Peace Of Heaven Bed &
Breakfast
501 Us Route 26 Millsfield
03579",6:00 PM - 7:00 PM
MILTON,"MICHELLE L
BEAUCHAMP","PO BOX 180 MILTON
03851",652-9414,652-4120,"townclerktaxcollecter@miltonn
h-us.com",www.miltonnh-us.com,"Emma Ramsey Center
424 White Mountain Hwy
Milton 03851",8:00 AM - 7:00 PM
MONROE,MARILYN S BEDELL,"PO BOX 63 MONROE
03771",638-2644,638-2021,monroetc@roadrunner.com,monroenh.org,"Monroe Town Hall
50 Main St Monroe 03771",8:00 AM - 7:00 PM
MONT VERNON,JEANETTE VINTON,"PO BOX 417 MONT
VERNON 03057",673-9126,673-0914,mvtownclerk@comcast.net,http://montvernonnh.us,"Mont Vernon Village School
1 Kittredge Rd Mont Vernon
03057",7:00 AM - 7:00 PM
"MOULTONBOROUG
H","BARBARA E
WAKEFIELD","PO BOX 15
MOULTONBOROUGH
03254",476-2347,476-2778,mltborotclerk@gmail.com,www.moultonboroughnh.gov,"Moultonborough Public Safety
Building
1035 Whittier Hwy
Moultonborough 03254",7:00 AM - 7:00 PM
NASHUA WARD 01,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 01 - Birch Hill
Elementary School
17 Birch Hill - Polling Place
Only Dr Nashua 03063",6:00 AM - 8:00 PM
NASHUA WARD 02,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 02 - Charlotte Avenue
Elementary School
48 Charlotte Ave Nashua
03064",6:00 AM - 8:00 PM
NASHUA WARD 03,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 03 - First Baptist
Church
121 Manchester St Nashua
03064",6:00 AM - 8:00 PM
NASHUA WARD 04,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 04 - Ledge Street
Elementary School
139 Ledge St Nashua 03060",6:00 AM - 8:00 PM
NASHUA WARD 05,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 05 - Crossway
Christian Church
503 Main Dunstable Rd
Nashua 03062",6:00 AM - 8:00 PM
NASHUA WARD 06,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 06 - Fairgrounds
Middle School
27 Cleveland St Nashua
03060",6:00 AM - 8:00 PM
NASHUA WARD 07,PAUL R BERGERON,"229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 07 - Dr. Normand Crisp
Elementary School
50 Arlington St Nashua 03060",6:00 AM - 8:00 PM
