Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
TAMWORTH,KIM TRAMMELL,"84 MAIN STREET
TAMWORTH 03886",323-7971,323-2347,tctx@tamworthnh.org,www.tamworthnh.org,"K A Brett School
881 Tamworth Rd Tamworth
03886",8:00 AM - 7:00 PM
TEMPLE,WENDY DROUIN,PO BOX 69 TEMPLE 03084,878-3873,878-5067,templeclerk@comcast.net,http://templenh.org,"Temple Town Hall
19 Main St Temple 03084",8:00 AM - 7:00 PM
THORNTON,TIMOTHY J TYLER,"16 MERRILL ACCESS RD.
THORNTON 03285",726-4232,726-2078,townclerk@thorntonnh.org,www.thorntonnh.org,"Thornton Town Office Building
16 Merrill Access Rd Thornton
03285",8:00 AM - 7:00 PM
TILTON,CINDY REINARTZ,"257 MAIN ST TILTON
03276",286-4425,286-3519,tctc@tiltonnh.org,www.tiltonnh.org,"Winnisquam Middle School
Gymnasium
76 Winter St Tilton 03276",8:00 AM - 7:00 PM
TROY,MARCY R JOHNSON,PO BOX 249 TROY 03465,242-3845,242-3430,taxcollector@troy-nh.us,none available,"Troy Elementary School
44 School St Troy 03465",8:00 AM - 7:00 PM
TUFTONBORO,"HEATHER K
CUBEDDU","PO BOX 98 CTR
TUFTONBORO 03816",569-4539,569-4328,townclerk@tuftonboro.org,www.tuftonboro.org,"Tuftonboro Town House
247 Middle Rd Tuftonboro
03816",8:00 AM - 7:00 PM
UNITY,ROSEMARY HEINO,"13 CENTER ROAD UNITY
03603",542-9665,542-9736,townofunity@myfairpoint.net,,"Town Hall
896 2Nd Nh Tpke Unity 03603",8:00 AM - 7:00 PM
WAKEFIELD,VALERIE WARD,"2 HIGH ST SANBORNVILLE
03872",522-6205,522-6794,townclerk@wakefieldnh.com,www.wakefieldnh.com,"Wakefield Town Hall Opera
House
2 High St Wakefield 03872",8:00 AM - 7:00 PM
WALPOLE WARD 01,"SANDRA JEAN
SMITH","PO BOX 756 WALPOLE
03608",756-3514,756-4153,ssmith@walpolenh.us,www.walpolenh.us,"WARD 01 - Walpole Town Hall
34 Elm St Walpole 03608",8:00 AM - 7:00 PM
WALPOLE WARD 02,"SANDRA JEAN
SMITH","PO BOX 756 WALPOLE
03608",756-3514,756-4153,ssmith@walpolenh.us,www.walpolenh.us,"WARD 02 - St Peters Church
38 Church St Walpole 03609",8:00 AM - 7:00 PM
WARNER,JUDITH A ROGERS,"PO BOX 265 WARNER
03278",456-2298,456-3576,townclerk@warner.nh.us,www.warner.nh.us,"Warner Town Hall
5 East Main St Warner 03278",8:00 AM - 7:00 PM
WARREN,SUZANNE M FLAGG,"PO BOX 40 WARREN
03279",764-7705,764-9296,warrentownclerk@gmail.com,www.warren-nh.com,"Town Hall
21 Water St Warren 03279",9:00 AM - 7:00 PM
WASHINGTON,SANDRA POOLE,"3545 EAST WASHINGTON
RD WASHINGTON 03280",495-3667,496-3521,spoole@washingtonnh.org,www.washingtonnh.org,"Camp Morgan Lodge
338 Millen Pond Rd
Washington 03280",8:00 AM - 7:00 PM
"WATERVILLE
VALLEY","REGGIE
BREECKNER","PO BOX 500 WATERVILLE
VALLEY 03215",236-4730,236-2056,"wvtownclerk@watervillevalley.
org",www.watervillevalley.org,"Recreation Department
11 Noon Peak Rd Waterville
Valley 03215",11:00 AM - 7:00 PM
WEARE,"MAUREEN
BILLODEAU","15 FLANDERS MEMORIAL
RD WEARE 03281",529-7575,529-7571,mbillodeau@weare.nh.gov,www.weare.nh.gov,"Weare Middle School
16 East Rd Weare 03281",7:00 AM - 7:00 PM
WEBSTER,MICHELE R DERBY,"945 BATTLE ST WEBSTER
03303",648-2538,648-6055,townclerk@webster-nh.gov,www.webster-nh.gov,"Webster Town Hall
945 Battle St Webster 03303",8:00 AM - 7:00 PM
