Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
SOUTH HAMPTON,ANDREA CONDON,"190 HILLDALE AVE SOUTH
HAMPTON 03827",394-7696,394-2134,"townclerk@townsh.comcastbiz
.net",southhamptonnh.org,"South Hamtpn Town Hall
3 Hilldale Ave South Hampton
03827",11:00 AM - 8:00 PM
SPRINGFIELD,"CYNTHIA C
ANDERSON","PO BOX 22 SPRINGFIELD
03284",763-4805,763-3336,townclerk@springfieldnh.org,www.springfieldnh.net,"Springfield Meeting House
23 Four Corners Rd
Springfield 03284",8:00 AM - 7:00 PM
STARK,SUSAN H CROTEAU,"1189 STARK HWY STARK
03582",636-2118,636-6199,starktownof@myfairpoint.net,none available,"Stark Volunteer Fire
Department
1276 Stark Hwy Stark 03582",9:00 AM - 7:00 PM
STEWARTSTOWN,RITA M HIBBARD,"888 WASHINGTON W
STEWARTSTOWN 03597",246-3329,246-3329,"townofstewartstown@hotmail.
com",none available,"Stewartstown Community
School
60 School St Stewartstown
03597",11:00 AM - 7:00 PM
STODDARD,LINDA E CLARK,"PO BOX 373 STODDARD
03464",446-2214,446-2278,townclerkstoddard@live.com,www.stoddardnh.org,"Stoddard Town Hall
1450 Route 123 North
Stoddard 03464",8:00 AM - 7:00 PM
STRAFFORD,DIANE M WALDRON,"P O BOX 169 STRAFFORD
03884",664-2192,664-7276,townclerk@strafford.k12.nh.us,www.strafford.nh.gov,"Strafford Town Hall
12 Mountain View Dr Strafford
03884",8:00 AM - 7:00 PM
STRATFORD,DAWN A FROST,"1956 U.S. RTE. 3/PO BOX
366 STRATFORD 03590",922-5546,922-3317,townofstratford@gmail.com,www.stratfordnh.org,"Fuller Town Hall
1956 Us Route 3 Stratford
03590",10:00 AM - 7:00 PM
STRATHAM,"JOYCE L
CHARBONNEAU","10 BUNKER HILL AVE
STRATHAM 03885",772-4741,775-0517,"jcharbonneau@strathamnh.
gov",www.strathamnh.gov,"Stratham Municipal Center
10 Bunker Hill Ave Stratham
03885",8:00 AM - 8:00 PM
SUGAR HILL,"LISSA MACK
BOISSONNEAULT","PO BOX 574 SUGAR HILL
03586",823-8516,823-8446,townclerk@sugarhillnh.org,www.sugarhillnh.org,"Carolina Crapo Building
1411 Route 117 Sugar Hill
03586",11:00 AM - 7:00 PM
SULLIVAN,MARY M HULL,"PO BOX 110 SULLIVAN
03445",847-3316,847-9154,"sullivantownclerk@myfairpoint.
net",www.ci.sullivan.nh.us,"Sullivan Town Hall
452 Centre St Sullivan 03445",8:00 AM - 7:00 PM
SUNAPEE,"BETTY H
RAMSPOTT","PO BOX 303 SUNAPEE
03782",763-2449,763-4608,betty@town.sunapee.nh.us,www.town.sunapee.nh.us,"Sherburne Gymnasium
561 Route 11 Sunapee 03782",8:00 AM - 7:00 PM
SURRY,"DARLENE ALICE
CLARK","1 VILLAGE ROAD SURRY
03431",352-3075,357-4890,surrytown@hotmail.com,www.townofsurry.org,"Surry Town Hall
1 Village Rd Surry 03431",11:00 AM - 7:00 PM
SUTTON,LINDA FORD,"PO BOX 545 N SUTTON
03260",927-4575,927-4646,lfordtctc@hotmail.com,www.sutton-nh.gov,"Sutton Town Hall
93 Main St Sutton 03221",8:00 AM - 7:00 PM
SWANZEY,DONNA MUNSON,"PO BOX 10009 SWANZEY
03446",352-7411,352-6250,"dmunson@town.swanzey.nh.
us",www.town.swanzey.nh.us,"Christian Life Fellowship
Church
211 Whitcomb Rd Swanzey
03446",8:00 AM - 7:00 PM
