Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
"ROCHESTER WARD
02","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 02 - Saint Mary's
Parish Center
71 Lowell St Rochester 03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
03","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 03 - Briar Ridge
Estates - Function Room -
F/K/A Lilac City Estates
2 Roseberry Ln Rochester
03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
04","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 04 - Rochester Home
Depot
280 North Main St Rochester
03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
05","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 05 - Rochester
Community Center - Chestnut
Hill Road Entrance
150 Wakefield St Rochester
03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
06","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,kelly.walters@rochesternh.net,www.rochesternh.net,"WARD 06 - Elks Lodge 1393
41 Columbus Ave Rochester
03867",8:00 AM - 7:00 PM
ROLLINSFORD,KATE NESMAN,"PO BOX 309
ROLLINSFORD 03869",742-2510,740-0254,rollinsford.tc@comcast.net,www.rollinsford.nh.us,"Rollinsford Town Hall
668 Main St Rollinsford 03869",7:00 AM - 7:00 PM
ROXBURY,"ROBIN LEIGH
BUFFUM","562 MIDDLETOWN ROAD
ROXBURY 03431",352-4903,352-4903,roxburytownclerk@yahoo.com,www.roxburynh.org,"Roxbury Town Hall
3 Middletown Rd Roxbury
03431",11:00 AM - 7:00 PM
RUMNEY,LINDA A WHITCOMB,"PO BOX 275 RUMNEY
03266",786-2237,786-2237,rumneyclerk@roadrunner.com,www.rumneynh.org,"Russell Elementary School
195 School St Rumney 03266",8:00 AM - 7:00 PM
RYE,"ELIZABETH M
YEATON","10 CENTRAL ROAD RYE
03870",964-8562,964-4132,byeaton@town.rye.nh.us,www.town.rye.nh.us,"Rye Elementary School
461 Sagamore Rd Rye 03870",8:00 AM - 7:00 PM
SALEM WARD 01,SUSAN MARIE WALL,"33 GEREMONTY DR
SALEM 03079",890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,"WARD 01 - Fisk School
14 Main St Salem 03079",7:00 AM - 7:00 PM
SALEM WARD 02,SUSAN MARIE WALL,"33 GEREMONTY DR
SALEM 03079",890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,"WARD 02 - Soule School
173 S Policy St Salem 03079",7:00 AM - 7:00 PM
SALEM WARD 03,SUSAN MARIE WALL,"33 GEREMONTY DR
SALEM 03079",890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,"WARD 03 - Barron School
55 Butler St Salem 03079",7:00 AM - 7:00 PM
SALEM WARD 04,SUSAN MARIE WALL,"33 GEREMONTY DR
SALEM 03079",890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,"WARD 04 - Senior Center
1 Sally Sweets Way Salem
03079",7:00 AM - 7:00 PM
SALEM WARD 06,SUSAN MARIE WALL,"33 GEREMONTY DR
SALEM 03079",890-2116,685-6402,swall@ci.salem.nh.us,www.townofsalemnh.org,"WARD 06 - No. Salem School
140 Zion Hill Rd Salem 03079",7:00 AM - 7:00 PM
