Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
LYNDEBOROUGH,"PATRICIA H
SCHULTZ","9 CITIZENS HALL ROAD
LYNDEBOROUGH 03082",654-5955,654-5777,tschultz@lyndeboroughnh.us,www.lyndeboroughnh.us,"Citizens' Hall
9 Citizens Hall Rd
Lyndeborough 03082",8:00 AM - 7:00 PM
MADBURY,"KATHERINE K
CORNWELL","13 TOWN HALL RD
MADBURY 03823",742-5131,742-2505,tcmadbury@comcast.net,"http://www.townofmadbury.co
m","Madbury Town Hall
13 Town Hall Rd Madbury
03823",7:00 AM - 7:00 PM
MADISON,"MICHAEL R
BROOKS","PO BOX 248 MADISON
03849",367-9931,367-4765,clerk@madison-nh.org,www.madison-nh.org,"Madison Elementary School
Gym
2069 Village Rd Madison
03849",8:00 AM - 7:00 PM
"MANCHESTER
WARD 01","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 01 - Webster School
2519 Elm St Manchester
03104",6:00 AM - 7:00 PM
"MANCHESTER
WARD 02","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 02 - Hillside Middle
School
112 Reservoir Ave Manchester
03104",6:00 AM - 7:00 PM
"MANCHESTER
WARD 03","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 03 - Carol M. Rines
Center
1528 Elm St Manchester
03101",6:00 AM - 7:00 PM
"MANCHESTER
WARD 04","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 04 - Mcdonough
School
550 Lowell St Manchester
03104",6:00 AM - 7:00 PM
"MANCHESTER
WARD 05","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 05 - Beech Street
School
333 Beech St Manchester
03103",6:00 AM - 7:00 PM
"MANCHESTER
WARD 06","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 06 - St. Pius Ccd
Center
167 Sarto St Manchester
03109",6:00 AM - 7:00 PM
"MANCHESTER
WARD 07","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 07 - St. Anthony
Community Center
148 Belmont St Manchester
03103",6:00 AM - 7:00 PM
"MANCHESTER
WARD 08","MATTHEW
NORMAND","1 CITY HALL PLAZA
MANCHESTER 03101",624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,"WARD 08 - Memorial High
School
1 Crusader Way Manchester
03103",6:00 AM - 7:00 PM
