Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
HOLLIS,LISA I CLAIRE,"7 MONUMENT SQUARE
HOLLIS 03049",465-2064,465-2964,townclerk@hollisnh.org,http://www.hollis.nh.us,"Hollis/Brookline Co-Operative
High School
24 Cavalier Ct Hollis 03049",7:00 AM - 7:00 PM
"HOOKSETT WARD
01",TODD RAINIER,"35 MAIN STREET
HOOKSETT 03106",485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,"WARD 01 - Cawley Middle
School
89 Ward 01 Whitehall Rd
Hooksett 03106",6:00 AM - 7:00 PM
"HOOKSETT WARD
02",TODD RAINIER,"35 MAIN STREET
HOOKSETT 03106",485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,"WARD 02 - Cawley Middle
School
89 Ward 02 Whitehall Rd
Hooksett 03106",6:00 AM - 7:00 PM
"HOOKSETT WARD
03",TODD RAINIER,"35 MAIN STREET
HOOKSETT 03106",485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,"WARD 03 - Cawley Middle
School
89 Ward 03 Whitehall Rd
Hooksett 03106",6:00 AM - 7:00 PM
"HOOKSETT WARD
04",TODD RAINIER,"35 MAIN STREET
HOOKSETT 03106",485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,"WARD 04 - Cawley Middle
School
89 Ward 04 Whitehall Rd
Hooksett 03106",6:00 AM - 7:00 PM
"HOOKSETT WARD
05",TODD RAINIER,"35 MAIN STREET
HOOKSETT 03106",485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,"WARD 05 - Cawley Middle
School
89 Ward 05 Whitehall Rd
Hooksett 03106",6:00 AM - 7:00 PM
"HOOKSETT WARD
06",TODD RAINIER,"35 MAIN STREET
HOOKSETT 03106",485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,"WARD 06 - Cawley Middle
School
89 Ward 06 Whitehall Rd
Hooksett 03106",6:00 AM - 7:00 PM
HOPKINTON,"CHARLES F
GANGEL","PO BOX 446
CONTOOCOOK 03229",746-3180,746-4011,"clerkcollector@hopkinton-
nh.gov",www.hopkinton-nh.gov,"Hopkinton High School
297 Park Ave Hopkinton
03229",7:00 AM - 7:00 PM
HUDSON,PATRICIA BARRY,"12 SCHOOL STREET
HUDSON 03051",886-6003,812-1292,pbarry@hudsonnh.gov,www.hudsonnh.gov,"Hudson Community Center
12 Lions Ave Hudson 03051",7:00 AM - 8:00 PM
JACKSON,KAREN BURTON,"PO BOX 336 JACKSON
03846",383-6248,,jxntctc@jackson-nh.org,www.jacksonvillage.net,"Whitney Community Center
16 Black Mountain Rd Jackson
03846",8:00 AM - 7:00 PM
JAFFREY,KELLY ROLLINS,"10 GOODNOW ST
JAFFREY 03452",532-7861,532-7862,krollins@townofjaffrey.com,www.townofjaffrey.com,"Jaffrey Vfw
12 Hathorn Rd Jaffrey 03452",8:00 AM - 7:00 PM
JEFFERSON,OPAL L BRONSON,84 STAG HOLLOW RD,586-4553,586-4553,jeffersontownclerk@live.com,www.jeffersonnh.org,"Jefferson Town Hall
698 Presidential Hwy Jefferson
03583",8:00 AM - 7:00 PM
