Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
CONCORD WARD 08,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 08 - Bektash Temple
189 Pembroke Rd Concord
03301",7:00 AM - 7:00 PM
CONCORD WARD 09,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 09 - Havenwood
33 Christian Ave Concord
03301",7:00 AM - 7:00 PM
CONCORD WARD 10,"JANICE L
BONENFANT","41 GREEN ST CONCORD
03301",225-8500,225-8592,cityclerk@concordnh.gov,www.concordnh.gov,"WARD 10 - Broken Ground
School
123 Portsmouth St Concord
03301",7:00 AM - 7:00 PM
CONWAY,RHODA A QUINT,"1634 EAST MAIN STREET
CENTER CONWAY 03813",447-3811,447-1348,rquint@conwaynh.org,www.conwaynh.org,"Conway Community Building
1808 East Main St Conway
03813",8:00 AM - 7:00 PM
CORNISH,PAULA HARTHAN,"PO BOX 183 CORNISH
FLAT 03746",675-5207,675-5605,"cornishtownclerk@comcast.ne
t",www.cornishnh.net,"Cornish Elementary School
994 Town House Rd Cornish
03745",8:00 AM - 7:00 PM
CROYDON,CHARLEEN LITTLE,"879 NH RTE 10 CROYDON
03773",863-7830,863-2601,croydon@myfairpoint.net,none available,"Croydon Town Hall
879 Nh Route 10 Croydon
03773",8:00 AM - 7:00 PM
DALTON,"JESSIE
WENTWORTH","756 DALTON ROAD
DALTON 03598",837-2092,873-9642,town.clerk@townofdalton.com,http://www.townofdalton.com/,"Dalton Municipal Building
756 Dalton Rd Dalton 03598",8:00 AM - 7:00 PM
DANBURY,TRICIA J TAYLOR,"23 HIGH ST DANBURY
03230",768-5448,768-5448,danburyclerk@comcast.net,www.townofdanburynh.com,"Danbury Town Hall
23 High St Danbury 03230",8:00 AM - 7:00 PM
DANVILLE,CHRISTINE TRACY,"210 MAIN STREET
DANVILLE 03819",382-8253,382-3363,ctracy@townofdanville.org,www.townofdanville.org,"Danville Community Center
169 Main St Danville 03819",8:00 AM - 7:00 PM
DEERFIELD,KEVIN BARRY,"PO BOX 159 DEERFIELD
03037",463-8811,463-2820,twn@townofdeerfieldnh.com,www.townofdeerfieldnh.com,"Deerfield Town Hall
10 Church St Deerfield 03037",7:00 AM - 7:00 PM
DEERING,"CAROL MICHELLE
BAKER","762 DEERING CENTER
ROAD DEERING 03244",464-3224,,townclerk@deering.nh.us,www.deering.nh.us,"Deering Town Hall
762 Deering Center Rd
Deering 03244",8:00 AM - 7:00 PM
DERRY WARD 01,DANIEL R HEALEY,"14 MANNING STREET
DERRY 03038",432-6105,432-8176,danielhealey@derrynh.org,www.derrynh.org,"WARD 01 - Gilbert H Hood
Middle School Dist #1
5 Gilbert Hood Middle School
Rd Derry 03038",7:00 AM - 8:00 PM
DERRY WARD 02,DANIEL R HEALEY,"14 MANNING STREET
DERRY 03038",432-6105,432-8176,danielhealey@derrynh.org,www.derrynh.org,"WARD 02 - Calvary Bible
School #2
145 Hampstead Rd Derry
03038",7:00 AM - 8:00 PM
DERRY WARD 03,DANIEL R HEALEY,"14 MANNING STREET
DERRY 03038",432-6105,432-8176,danielhealey@derrynh.org,www.derrynh.org,"WARD 03 - West Running
Brook Middle School Dist #3
1 West Running Brook Ln
Derry 03038",7:00 AM - 8:00 PM
