Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
BEDFORD,LORI A RADKE,"24 NORTH AMHERST RD
BEDFORD 03110",472-3550,472-4573,lradke@bedfordnh.org,www.bedfordnh.org,"Bedford High School
47 Nashua Rd Bedford 03110",7:00 AM - 7:00 PM
BELMONT,CYNTHIA M DEROY,"PO BOX 310 BELMONT
03220",267-8300,267-8305,tctc@belmontnh.org,www.belmontnh.org,"Belmont High School
255 Seavey Rd Belmont
03220",7:00 AM - 7:00 PM
BENNINGTON,DEBRA L BELCHER,"7 SCHOOL STREET
BENNINGTON 03444",588-2189,588-8005,"townclerk@townofbennington.
com",http://townofbennington.com/,"Pierce School
19 Main St Bennington 03442",8:00 AM - 7:00 PM
BENTON,"MICHAEL P
STIEBITZ","110 FLANDERS ROAD
BENTON 03785",787-6541,,mstiebitz@att.net,,"Benton Town Building
221 Coventry Rd Benton
03785",11:00 AM - 7:00 PM
BERLIN WARD 01,ELAINE L RIENDEAU,"168 MAIN STREET BERLIN
03570",752-2340,,eriendeau@berlinnh.gov,www.berlinnh.gov,"WARD 01 - Precinct 1 - Berlin
Recreation Center - First
Avenue Entrance
672 First Ave Berlin 03570",8:00 AM - 7:00 PM
BERLIN WARD 02,ELAINE L RIENDEAU,"168 MAIN STREET BERLIN
03570",752-2340,,eriendeau@berlinnh.gov,www.berlinnh.gov,"WARD 02 - New: Precinct 3 -
St Anne Hall - 304 School
Street Entrance
304 School St Berlin 03570",8:00 AM - 7:00 PM
BERLIN WARD 04,ELAINE L RIENDEAU,"168 MAIN STREET BERLIN
03570",752-2340,,eriendeau@berlinnh.gov,www.berlinnh.gov,"WARD 04 - Precinct 4 -
Community Bible Church -
Sullivan Street Entrance
593 Sullivan St Berlin 03570",8:00 AM - 7:00 PM
BETHLEHEM,MARY JACKSON,"PO BOX 185 BETHLEHEM
03574",869-2293,869-5500,townclerk@bethlehemnh.org,bethlehemnh.org,"Bethlehem Town Hall
2155 Main St Bethlehem
03574",8:00 AM - 7:00 PM
BOSCAWEN,"MICHELLE MARIE
BROCHU","116 N MAIN STREET
BOSCAWEN 03303",753-9188,753-9184,"mbrochu@townofboscawen.or
g","http://www.townofboscawen.or
g","Boscawen Town Hall
12 High St Boscawen 03303",7:00 AM - 7:00 PM
BOW,"MRIDULA SUDHIR
NAIK","10 GRANDVIEW ROAD
BOW 03304",228-1187,225-5428,townclerk@bow-nh.gov,www.bow-nh.gov,"Bow Memorial School
20 Bow Center Rd Bow 03304",7:00 AM - 7:00 PM
BRADFORD,CAMILA DEVLIN,"PO BOX 607 BRADFORD
03221",938-2288,938-5694,tc@bradfordnh.org,www.bradfordnh.org,"Bradford Town Hall
75 West Main St Bradford
03221",8:00 AM - 7:00 PM
BRENTWOOD,"PHYLLIS
THOMPSON","1 DALTON ROAD
BRENTWOOD 03833",642-6400,642-6310,townclerk@brentwoodnh.gov,www.brentwoodnh.gov,"Brentwood Recreation Center
190 Rte 125 Brentwood 03833",8:00 AM - 7:00 PM
BRIDGEWATER,"COLLEEN MARIE
KENNY","PO BOX 419 PLYMOUTH
03264",968-7911,968-3506,cmkenny@plymouth.edu,http://www.bridgewater-nh.com,"Bridgewater Town Hall
297 Mayhew Tpke Bridgewater
03222",11:00 AM - 7:00 PM
BRISTOL,"RAYMAH W
SIMPSON","230 LAKE STREET
BRISTOL 03222",744-3354,744-2521,rsimpson@townofbristolnh.org,www.townofbristolnh.org,"Marian Center
17 West Shore Rd Bristol
03222",8:00 AM - 7:00 PM
