Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
BRADFORD,MELISSA CLOUTIER,"PO BOX 607 BRADFORD
03221",938-2288,938-5694,tc@bradfordnh.org,www.bradfordnh.org,"Bradford Community Center
134 East Main St Bradford
03221",8:00AM - 7:00PM
BRENTWOOD,DAPHNE WOSS,"1 DALTON ROAD
BRENTWOOD 03833",642-6400,642-6310,townclerk@brentwoodnh.gov,www.brentwoodnh.gov,"Brentwood Recreation Center
190 Rte 125 Brentwood 03833",8:00AM - 7:00PM
BRIDGEWATER,"COLLEEN MARIE
KENNY","PO BOX 419 PLYMOUTH
03264",968-7911,968-3506,"bridgewatertownclerk@gmail.c
om",www.bridgewater-nh.com,"Bridgewater Town Hall
297 Mayhew Tpke Bridgewater
03222",11:00 AM - 7:00 PM
BRISTOL,"RAYMAH W
SIMPSON","230 LAKE STREET
BRISTOL 03222",744-3354,744-2521,rsimpson@townofbristolnh.org,www.townofbristolnh.org,"""Old"" Town Hall
45 Summer St Bristol 03222",8:00 AM - 7:00 PM
BROOKFIELD,"VIRGINIA A
MCGINLEY","2 PINEY RD. PO BOX 756
BROOKFIELD 03872",522-3688,522-6245,brookfieldnhtc@hotmail.com,www.brookfieldnh.org,"Brookfield Town House
267 Wentworth Rd Brookfield
03872",8:00 AM - 7:00 PM
BROOKLINE,"PATRICIA A
HOWARD-BARNETT","PO BOX 336 BROOKLINE
03033",673-8855,673-8802,patti@brookline.nh.us,http://www.brookline.nh.us/,"Captain Samuel Douglas
Academy
24 Townsend Hill Rd Brookline
03033",7:00 AM - 7:30 PM
CAMBRIDGE,YVETTE BILODEAU,"33 PO BOX 100 ERROL
03579",482-3351,482-3804,erroltownclerk@gmail.com,none available,"Errol Town Hall
33 Main St Cambridge 03579",8:00 AM - 7:00 PM
CAMPTON,HANNAH B JOYCE,"10 GEARTY WAY
CAMPTON 03223",726-3223,726-9817,toc.hj@camptonnh.org,www.camptonnh.org,"Campton Municipal Building
12 Gearty Way Campton
03223",8:00 AM - 7:00 PM
CANAAN,VICKY J MCALISTER,"PO BOX 38 CANAAN
03741",523-7106,523-4526,vmcalister@canaannh.org,www.canaannh.org,"Canaan Fire Station
62 Nh Rt 118 Canaan 03741",8:00 AM - 7:00 PM
CANDIA,"CHRISTINE
DUPERE","74 HIGH STREET CANDIA
03034",483-5573,483-0252,cdupere@townofcandia.org,www.candianh.org,"Candia Youth Athletic
Association (Cyaa)
27 Raymond Rd Candia 03034",6:00 AM - 7:00 PM
CANTERBURY,BENJAMIN A BYNUM,"PO BOX 500
CANTERBURY 03224",783-0153,783-0501,bbynum@canterbury-nh.org,www.canterbury-nh.org,"Canterbury Elementary School
15 Baptist Rd Canterbury
03224",7:00 AM - 7:00 PM
CARROLL,"REBECCA J
PEDERSON","PO BOX 88 TWIN
MOUNTAIN 03595",846-5494,846-5713,townclerk@townofcarroll.org,www.town of carroll.org,"Carroll Town Hall/Twin
Mountain
92 School St Carroll 03595",8:00 AM - 7:00 PM
CENTER HARBOR,"MARY
RICHARDSON","PO BOX 140 CENTER
HARBOR 03226",253-4561,253-8420,chtownclerk@metrocast.net,www.centerharbornh.org,"Center Harbor Town Office
36 Main St Center Harbor
03226",8:00 AM - 7:00 PM
"CHANDLERS
PURCHASE",CAROL T PORTER,"20 PARK ST GORHAM
03581",446-2744,,cporter@gorhamnh.org,,"Gorham Town Hall
20 Park St Gorham - For
Polling Location Only
Chandlers Purchase 03581",8:00 AM - 7:00 PM
