Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
"MERRIMACK WARD
02",DIANE TRIPPETT,"6 BABOOSIC LAKE ROAD
MERRIMACK 03054",424-3651,423-8539,dtrippett@merrimacknh.gov,www.merrimacknh.gov,"WARD 02 - Merrimack Middle
School
31 Madeline Bennett - Polling
Location Only Ln Merrimack",7:00 AM - 7:00 PM
"MERRIMACK WARD
03",DIANE TRIPPETT,"6 BABOOSIC LAKE ROAD
MERRIMACK 03054",424-3651,423-8539,dtrippett@merrimacknh.gov,www.merrimacknh.gov,"WARD 03 - St John Neumann
Church
708 Milford - Polling Location
Only Rd Merrimack 03054",7:00 AM - 7:00 PM
MIDDLETON,"KATHLEEN D
BLANEY","182 KINGS HIGHWAY
MIDDLETON 03887",473-5210,473-2450,tctx@middletonnh.gov,www.middletonnh.gov,"Old Town Hall
200 Kings Hwy Middleton
03887",7:00 AM - 7:00 PM
MILAN,"CYNTHIA S
WOODWARD",PO BOX 158 MILAN 03588,449-3461,449-2624,milantownclerk@gmail.com,www.townofmilan.org,"Milan Village School Gym
11 Bridge St Milan 03588",8:00 AM - 7:00 PM
MILFORD,JOAN DARGIE,"1 UNION SQUARE
MILFORD 03055",249-0650,673-2273,joan.dargie@milford.nh.gov,www.milford.nh.gov/,"Milford Middle School
33 Osgood Rd Milford 03055",6:00 AM - 8:00 PM
MILLSFIELD,CAROL A POMELOW,"468 US ROUTE 26 ERROL
03579",482-3294,482-3451,caploghaven@aol.com,none available,"Peace Of Heaven Bed &
Breakfast
501 Us Route 26 Millsfield
03579",8:00 AM - 7:00 PM
MILTON,"MICHELLE L
BEAUCHAMP","PO BOX 180 MILTON
03851",652-4501,652-4120,"townclerktaxcollecter@miltonn
h-us.com",www.miltonnh-us.com,"Milton Assembly Of God
Church
370 White Mountain Hwy
Milton 03851",8:00 AM - 7:00 PM
MONROE,MARILYN S BEDELL,"PO BOX 63 MONROE
03771",638-2644,638-2021,monroetc@roadrunner.com,monroenh.org,"Monroe Town Hall
50 Main St Monroe 03771",8:00 AM - 7:00 PM
MONT VERNON,BELINDA YEATON,"PO BOX 417 MONT
VERNON 03057",673-9126,673-0914,mvtownclerk@comcast.net,www.montvernonnh.us,"Mont Vernon Village School
1 Kittredge Rd Mont Vernon
03057",7:00 AM - 7:00 PM
"MOULTONBOROUG
H","BARBARA E
WAKEFIELD","PO BOX 15
MOULTONBOROUGH
03254",476-2347,476-2778,"townclerk@moultonboroughnh
.gov",www.moultonboroughnh.gov,"Moultonborough Public Safety
Building
1035 Whittier Hwy
Moultonborough 03254",7:00 AM - 7:00 PM
NASHUA WARD 01,"PATRICIA D
PIECUCH","229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 01 - Broad Street
Elementary School
390 Broad St Nashua 03063",6:00 AM - 8:00 PM
NASHUA WARD 02,"PATRICIA D
PIECUCH","229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 02 - Charlotte Avenue
Elementary School
48 Charlotte Ave Nashua
03064",6:00 AM - 8:00 PM
NASHUA WARD 03,"PATRICIA D
PIECUCH","229 MAIN STREET
NASHUA 03060",589-3010,589-3029,cityclerkdept@nashuanh.gov,www.nashuanh.gov,"WARD 03 - Amherst Street
Elementary School
71 Amherst St Nashua 03064",6:00 A.M. - 8:00 PM
