Town/City,Clerk,Address,"Phone (area
code 603)",Fax,E-Mail,Town Website Address,Polling Place,Polling Hours
RANDOLPH,ANNE KENISON,"130 DURAND ROAD
RANDOLPH 03593",466-5771,466-9856,townclerk@randolph.nh.gov,www.randolph.nh.gov,"Randolph Town Hall
130 Durand Rd Randolph
03593",11:00 AM - 7:00 PM
RAYMOND,SHARON E WALLS,"4 EPPING STREET
RAYMOND 03077",895-7024,895-7064,swalls@raymondnh.gov,www.raymondnh.gov,"Iber Holmes Gove Middle
School
1 Stephen K Batchelder Pkwy
Raymond 03077",7:00 AM - 7:00 PM
RICHMOND,"ANNETTE NAOMI
TOKUNAGA","105 OLD HOMESTEAD
HWY RICHMOND 03470",239-6202,239-4615,"richmondtownclerk@yahoo.co
m",www.richmond.nh.gov,"Veterans Memorial Hall
150 Old Homestead Hwy
Richmond 03470",8:00 AM - 7:00 PM
RINDGE,"NANCY A. S.
MARTIN","30 PAYSON HILL RD
RINDGE 03461",899-5181,899-2108,townclerk@town.rindge.nh.us,www.rindgenh.org,"Rindge Memorial School
58 School St Rindge 03461",7:00 AM - 7:00 PM
"ROCHESTER WARD
01","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,cityclerk@rochesternh.net,www.rochesternh.net,"WARD 01 - East Rochester
Elementary School
773 Portland St Rochester
03868",8:00 AM - 7:00 PM
"ROCHESTER WARD
02","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,cityclerk@rochesternh.net,www.rochesternh.net,"WARD 02 - Saint Mary's
Parish Center
71 Lowell St Rochester 03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
03","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,cityclerk@rochesternh.net,www.rochesternh.net,"WARD 03 - Gonic Elementary
School
10 Railroad Ave Rochester
03839",8:00 AM - 7:00 PM
"ROCHESTER WARD
04","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,cityclerk@rochesternh.net,www.rochesternh.net,"WARD 04 - Mcclelland
Elementary School
59 Brock St Rochester 03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
05","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,cityclerk@rochesternh.net,www.rochesternh.net,"WARD 05 - Rochester
Community Center - Chestnut
Hill Road Entrance
150 Wakefield St Rochester
03867",8:00 AM - 7:00 PM
"ROCHESTER WARD
06","KELLY ANNE
WALTERS","31 WAKEFIELD ST
ROCHESTER 03867",332-2130,509-1915,cityclerk@rochesternh.net,www.rochesternh.net,"WARD 06 - Elks Lodge 1393
295 Columbus Ave Rochester
03867",8:00 AM - 7:00 PM
ROLLINSFORD,KATE NESMAN,"PO BOX 309
ROLLINSFORD 03869",742-2510,740-0254,kate.nesman@rollinsford.nh.us,www.rollinsford.nh.us,"American Legion Post 47
551 Foundry St Rollinsford
03869",7:00 AM - 7:00 PM
ROXBURY,"ROBIN LEIGH
BUFFUM","562 MIDDLETOWN ROAD
ROXBURY 03431",352-4903,352-4903,roxburytownclerk@yahoo.com,www.roxburynh.org,"Roxbury Town Hall
3 Middletown Rd Roxbury
03431",11:00 AM - 7:00 PM
RUMNEY,LILA M WILLIAMS,"PO BOX 275 RUMNEY
03266",786-2237,786-2237,townclerk@rumneynh.org,www.rumneynh.org,"Russell Elementary School
195 School St Rumney 03266",8:00 AM - 7:00 PM
